,음식,label,구간
0,"('쌀밥(반공기)', '쇠고기국', '콩나물무침')",1676,6
1,"('쌀밥(반공기)', '쇠고기국', '고사리나물')",1665,8
2,"('쌀밥(반공기)', '쇠고기국', '버섯볶음')",1669,18
3,"('쌀밥(반공기)', '쇠고기국', '진미채볶음')",1674,26
4,"('쌀밥(반공기)', '쇠고기국', '낚지볶음')",1668,32
5,"('쌀밥(반공기)', '쇠고기국', '김치참치볶음')",1667,8
6,"('쌀밥(반공기)', '쇠고기국', '갈치구이')",1660,32
7,"('쌀밥(반공기)', '쇠고기국', '조기구이')",1673,17
8,"('쌀밥(반공기)', '쇠고기국', '잔멸치볶음')",1672,12
9,"('쌀밥(반공기)', '쇠고기국', '감자채볶음')",1661,15
10,"('쌀밥(반공기)', '쇠고기국', '애호박볶음')",1671,16
11,"('쌀밥(반공기)', '쇠고기국', '골뱅이무침')",1666,20
12,"('쌀밥(반공기)', '쇠고기국', '홍합무침')",1678,19
13,"('쌀밥(반공기)', '쇠고기국', '코다리찜')",1675,26
14,"('쌀밥(반공기)', '쇠고기국', '콩나물찜')",1677,33
15,"('쌀밥(반공기)', '쇠고기국', '훈제닭가슴살')",1679,23
16,"('쌀밥(반공기)', '쇠고기국', '계란프라이')",1663,16
17,"('쌀밥(반공기)', '쇠고기국', '계란찜')",1662,33
18,"('쌀밥(반공기)', '쇠고기국', '계란햄말이')",1664,26
19,"('쌀밥(반공기)', '쇠고기국', '쇠고기장조림')",1670,25
20,"('쌀밥(반공기)', '시래기국', '콩나물무침')",1696,3
21,"('쌀밥(반공기)', '시래기국', '고사리나물')",1685,4
22,"('쌀밥(반공기)', '시래기국', '버섯볶음')",1689,13
23,"('쌀밥(반공기)', '시래기국', '진미채볶음')",1694,21
24,"('쌀밥(반공기)', '시래기국', '낚지볶음')",1688,29
25,"('쌀밥(반공기)', '시래기국', '김치참치볶음')",1687,4
26,"('쌀밥(반공기)', '시래기국', '갈치구이')",1680,30
27,"('쌀밥(반공기)', '시래기국', '조기구이')",1693,12
28,"('쌀밥(반공기)', '시래기국', '잔멸치볶음')",1692,7
29,"('쌀밥(반공기)', '시래기국', '감자채볶음')",1681,10
30,"('쌀밥(반공기)', '시래기국', '애호박볶음')",1691,11
31,"('쌀밥(반공기)', '시래기국', '골뱅이무침')",1686,15
32,"('쌀밥(반공기)', '시래기국', '홍합무침')",1698,14
33,"('쌀밥(반공기)', '시래기국', '코다리찜')",1695,21
34,"('쌀밥(반공기)', '시래기국', '콩나물찜')",1697,30
35,"('쌀밥(반공기)', '시래기국', '훈제닭가슴살')",1699,18
36,"('쌀밥(반공기)', '시래기국', '계란프라이')",1683,11
37,"('쌀밥(반공기)', '시래기국', '계란찜')",1682,30
38,"('쌀밥(반공기)', '시래기국', '계란햄말이')",1684,21
39,"('쌀밥(반공기)', '시래기국', '쇠고기장조림')",1690,20
40,"('쌀밥(반공기)', '감자맑은국', '콩나물무침')",1556,5
41,"('쌀밥(반공기)', '감자맑은국', '고사리나물')",1545,8
