,음식,label,구간
0,"('곤드레나물밥', '무된장국', '도토리묵말이')",34,23
1,"('곤드레나물밥', '무된장국', '콩나물무침')",40,15
2,"('곤드레나물밥', '무된장국', '취나물')",39,16
3,"('곤드레나물밥', '무된장국', '미나리나물')",35,14
4,"('곤드레나물밥', '무된장국', '달래나물무침')",31,18
5,"('곤드레나물밥', '무된장국', '더덕무침')",32,20
6,"('곤드레나물밥', '무된장국', '도토리묵')",33,15
7,"('곤드레나물밥', '무된장국', '청포묵무침')",38,19
8,"('곤드레나물밥', '무된장국', '깻잎나물볶음')",30,20
9,"('곤드레나물밥', '무된장국', '표고버섯볶음')",41,19
10,"('곤드레나물밥', '무된장국', '버섯구이')",36,15
11,"('곤드레나물밥', '무된장국', '새송이버섯구이')",37,16
12,"('곤드레나물밥', '무된장국', '가지나물무침')",28,13
13,"('곤드레나물밥', '무된장국', '고사리나물무침')",29,15
14,"('곤드레나물밥', '미소된장국', '도토리묵말이')",48,22
15,"('곤드레나물밥', '미소된장국', '콩나물무침')",54,11
16,"('곤드레나물밥', '미소된장국', '취나물')",53,13
17,"('곤드레나물밥', '미소된장국', '미나리나물')",49,11
18,"('곤드레나물밥', '미소된장국', '달래나물무침')",45,16
19,"('곤드레나물밥', '미소된장국', '더덕무침')",46,19
20,"('곤드레나물밥', '미소된장국', '도토리묵')",47,11
21,"('곤드레나물밥', '미소된장국', '청포묵무침')",52,17
22,"('곤드레나물밥', '미소된장국', '깻잎나물볶음')",44,18
23,"('곤드레나물밥', '미소된장국', '표고버섯볶음')",55,17
24,"('곤드레나물밥', '미소된장국', '버섯구이')",50,11
25,"('곤드레나물밥', '미소된장국', '새송이버섯구이')",51,12
26,"('곤드레나물밥', '미소된장국', '가지나물무침')",42,10
27,"('곤드레나물밥', '미소된장국', '고사리나물무침')",43,11
28,"('곤드레나물밥', '시래기된장국', '도토리묵말이')",76,23
29,"('곤드레나물밥', '시래기된장국', '콩나물무침')",82,14
30,"('곤드레나물밥', '시래기된장국', '취나물')",81,16
31,"('곤드레나물밥', '시래기된장국', '미나리나물')",77,14
32,"('곤드레나물밥', '시래기된장국', '달래나물무침')",73,18
33,"('곤드레나물밥', '시래기된장국', '더덕무침')",74,20
34,"('곤드레나물밥', '시래기된장국', '도토리묵')",75,15
35,"('곤드레나물밥', '시래기된장국', '청포묵무침')",80,19
36,"('곤드레나물밥', '시래기된장국', '깻잎나물볶음')",72,20
37,"('곤드레나물밥', '시래기된장국', '표고버섯볶음')",83,18
38,"('곤드레나물밥', '시래기된장국', '버섯구이')",78,15
39,"('곤드레나물밥', '시래기된장국', '새송이버섯구이')",79,16
40,"('곤드레나물밥', '시래기된장국', '가지나물무침')",70,13
41,"('곤드레나물밥', '시래기된장국', '고사리나물무침')",71,15
42,"('곤드레나물밥', '초당순두부', '도토리묵말이')",90,23
43,"('곤드레나물밥', '초당순두부', '콩나물무침')",96,22
44,"('곤드레나물밥', '초당순두부', '취나물')",95,23
45,"('곤드레나물밥', '초당순두부', '미나리나물')",91,22
46,"('곤드레나물밥', '초당순두부', '달래나물무침')",87,23
47,"('곤드레나물밥', '초당순두부', '더덕무침')",88,23
48,"('곤드레나물밥', '초당순두부', '도토리묵')",89,23
49,"('곤드레나물밥', '초당순두부', '청포묵무침')",94,23
50,"('곤드레나물밥', '초당순두부', '깻잎나물볶음')",86,23
51,"('곤드레나물밥', '초당순두부', '표고버섯볶음')",97,23
52,"('곤드레나물밥', '초당순두부', '버섯구이')",92,23
53,"('곤드레나물밥', '초당순두부', '새송이버섯구이')",93,23
54,"('곤드레나물밥', '초당순두부', '가지나물무침')",84,22
55,"('곤드레나물밥', '초당순두부', '고사리나물무침')",85,23
56,"('곤드레나물밥', '냉이된장국', '도토리묵말이')",6,22
57,"('곤드레나물밥', '냉이된장국', '콩나물무침')",12,13
58,"('곤드레나물밥', '냉이된장국', '취나물')",11,16
59,"('곤드레나물밥', '냉이된장국', '미나리나물')",7,13
60,"('곤드레나물밥', '냉이된장국', '달래나물무침')",3,17
61,"('곤드레나물밥', '냉이된장국', '더덕무침')",4,20
62,"('곤드레나물밥', '냉이된장국', '도토리묵')",5,14
63,"('곤드레나물밥', '냉이된장국', '청포묵무침')",10,18
64,"('곤드레나물밥', '냉이된장국', '깻잎나물볶음')",2,19
65,"('곤드레나물밥', '냉이된장국', '표고버섯볶음')",13,18
66,"('곤드레나물밥', '냉이된장국', '버섯구이')",8,14
67,"('곤드레나물밥', '냉이된장국', '새송이버섯구이')",9,15
68,"('곤드레나물밥', '냉이된장국', '가지나물무침')",0,12
69,"('곤드레나물밥', '냉이된장국', '고사리나물무침')",1,14
70,"('곤드레나물밥', '메밀묵국', '도토리묵말이')",20,22
71,"('곤드레나물밥', '메밀묵국', '콩나물무침')",26,13
72,"('곤드레나물밥', '메밀묵국', '취나물')",25,16
73,"('곤드레나물밥', '메밀묵국', '미나리나물')",21,13
74,"('곤드레나물밥', '메밀묵국', '달래나물무침')",17,17
75,"('곤드레나물밥', '메밀묵국', '더덕무침')",18,20
76,"('곤드레나물밥', '메밀묵국', '도토리묵')",19,14
77,"('곤드레나물밥', '메밀묵국', '청포묵무침')",24,18
78,"('곤드레나물밥', '메밀묵국', '깻잎나물볶음')",16,19
79,"('곤드레나물밥', '메밀묵국', '표고버섯볶음')",27,18
80,"('곤드레나물밥', '메밀묵국', '버섯구이')",22,14
81,"('곤드레나물밥', '메밀묵국', '새송이버섯구이')",23,15
82,"('곤드레나물밥', '메밀묵국', '가지나물무침')",14,12
83,"('곤드레나물밥', '메밀묵국', '고사리나물무침')",15,14
84,"('곤드레나물밥', '미역국', '도토리묵말이')",62,22
85,"('곤드레나물밥', '미역국', '콩나물무침')",68,11
86,"('곤드레나물밥', '미역국', '취나물')",67,13
87,"('곤드레나물밥', '미역국', '미나리나물')",63,11
88,"('곤드레나물밥', '미역국', '달래나물무침')",59,17
89,"('곤드레나물밥', '미역국', '더덕무침')",60,19
90,"('곤드레나물밥', '미역국', '도토리묵')",61,12
91,"('곤드레나물밥', '미역국', '청포묵무침')",66,17
92,"('곤드레나물밥', '미역국', '깻잎나물볶음')",58,19
93,"('곤드레나물밥', '미역국', '표고버섯볶음')",69,17
94,"('곤드레나물밥', '미역국', '버섯구이')",64,11
95,"('곤드레나물밥', '미역국', '새송이버섯구이')",65,13
96,"('곤드레나물밥', '미역국', '가지나물무침')",56,11
97,"('곤드레나물밥', '미역국', '고사리나물무침')",57,12
98,"('오곡밥', '무된장국', '도토리묵말이')",524,21
99,"('오곡밥', '무된장국', '콩나물무침')",530,8
100,"('오곡밥', '무된장국', '취나물')",529,10
101,"('오곡밥', '무된장국', '미나리나물')",525,8
102,"('오곡밥', '무된장국', '달래나물무침')",521,12
103,"('오곡밥', '무된장국', '더덕무침')",522,17
104,"('오곡밥', '무된장국', '도토리묵')",523,9
105,"('오곡밥', '무된장국', '청포묵무침')",528,13
106,"('오곡밥', '무된장국', '깻잎나물볶음')",520,16
107,"('오곡밥', '무된장국', '표고버섯볶음')",531,13
108,"('오곡밥', '무된장국', '버섯구이')",526,8
109,"('오곡밥', '무된장국', '새송이버섯구이')",527,9
110,"('오곡밥', '무된장국', '가지나물무침')",518,8
111,"('오곡밥', '무된장국', '고사리나물무침')",519,9
112,"('오곡밥', '미소된장국', '도토리묵말이')",538,21
113,"('오곡밥', '미소된장국', '콩나물무침')",544,5
114,"('오곡밥', '미소된장국', '취나물')",543,7
115,"('오곡밥', '미소된장국', '미나리나물')",539,5
116,"('오곡밥', '미소된장국', '달래나물무침')",535,9
117,"('오곡밥', '미소된장국', '더덕무침')",536,13
118,"('오곡밥', '미소된장국', '도토리묵')",537,6
119,"('오곡밥', '미소된장국', '청포묵무침')",542,10
120,"('오곡밥', '미소된장국', '깻잎나물볶음')",534,13
121,"('오곡밥', '미소된장국', '표고버섯볶음')",545,10
122,"('오곡밥', '미소된장국', '버섯구이')",540,6
123,"('오곡밥', '미소된장국', '새송이버섯구이')",541,7
124,"('오곡밥', '미소된장국', '가지나물무침')",532,4
125,"('오곡밥', '미소된장국', '고사리나물무침')",533,6
126,"('오곡밥', '시래기된장국', '도토리묵말이')",566,21
