,음식,label,구간
0,"('잡곡밥', '바지락조개국', '미나리나물')",272,4
1,"('잡곡밥', '바지락조개국', '취나물')",279,7
2,"('잡곡밥', '바지락조개국', '도토리묵')",271,5
3,"('잡곡밥', '바지락조개국', '새우구이')",274,12
4,"('잡곡밥', '바지락조개국', '숙주나물무침')",275,4
5,"('잡곡밥', '바지락조개국', '애호박볶음')",277,4
6,"('잡곡밥', '바지락조개국', '청포묵무침')",278,9
7,"('잡곡밥', '바지락조개국', '병어구이')",273,16
8,"('잡곡밥', '바지락조개국', '쑥갓나물무침')",276,8
9,"('잡곡밥', '바지락조개국', '도미구이')",270,14
10,"('잡곡밥', '얼갈이배춧국', '미나리나물')",292,1
11,"('잡곡밥', '얼갈이배춧국', '취나물')",299,2
12,"('잡곡밥', '얼갈이배춧국', '도토리묵')",291,1
13,"('잡곡밥', '얼갈이배춧국', '새우구이')",294,9
14,"('잡곡밥', '얼갈이배춧국', '숙주나물무침')",295,1
15,"('잡곡밥', '얼갈이배춧국', '애호박볶음')",297,1
16,"('잡곡밥', '얼갈이배춧국', '청포묵무침')",298,4
17,"('잡곡밥', '얼갈이배춧국', '병어구이')",293,14
18,"('잡곡밥', '얼갈이배춧국', '쑥갓나물무침')",296,2
19,"('잡곡밥', '얼갈이배춧국', '도미구이')",290,12
20,"('잡곡밥', '홍합미역국', '미나리나물')",302,5
21,"('잡곡밥', '홍합미역국', '취나물')",309,7
22,"('잡곡밥', '홍합미역국', '도토리묵')",301,6
23,"('잡곡밥', '홍합미역국', '새우구이')",304,12
24,"('잡곡밥', '홍합미역국', '숙주나물무침')",305,4
25,"('잡곡밥', '홍합미역국', '애호박볶음')",307,5
26,"('잡곡밥', '홍합미역국', '청포묵무침')",308,10
27,"('잡곡밥', '홍합미역국', '병어구이')",303,16
28,"('잡곡밥', '홍합미역국', '쑥갓나물무침')",306,8
29,"('잡곡밥', '홍합미역국', '도미구이')",300,14
30,"('잡곡밥', '무된장국', '미나리나물')",252,2
31,"('잡곡밥', '무된장국', '취나물')",259,4
32,"('잡곡밥', '무된장국', '도토리묵')",251,3
33,"('잡곡밥', '무된장국', '새우구이')",254,11
34,"('잡곡밥', '무된장국', '숙주나물무침')",255,2
35,"('잡곡밥', '무된장국', '애호박볶음')",257,2
36,"('잡곡밥', '무된장국', '청포묵무침')",258,8
37,"('잡곡밥', '무된장국', '병어구이')",253,15
38,"('잡곡밥', '무된장국', '쑥갓나물무침')",256,5
39,"('잡곡밥', '무된장국', '도미구이')",250,14
40,"('잡곡밥', '황태해장국', '미나리나물')",312,6
41,"('잡곡밥', '황태해장국', '취나물')",319,8
42,"('잡곡밥', '황태해장국', '도토리묵')",311,6
43,"('잡곡밥', '황태해장국', '새우구이')",314,13
44,"('잡곡밥', '황태해장국', '숙주나물무침')",315,5
45,"('잡곡밥', '황태해장국', '애호박볶음')",317,6
46,"('잡곡밥', '황태해장국', '청포묵무침')",318,10
47,"('잡곡밥', '황태해장국', '병어구이')",313,16
48,"('잡곡밥', '황태해장국', '쑥갓나물무침')",316,8
49,"('잡곡밥', '황태해장국', '도미구이')",310,15
50,"('잡곡밥', '감잣국', '미나리나물')",242,2
51,"('잡곡밥', '감잣국', '취나물')",249,3
52,"('잡곡밥', '감잣국', '도토리묵')",241,2
53,"('잡곡밥', '감잣국', '새우구이')",244,10
54,"('잡곡밥', '감잣국', '숙주나물무침')",245,1
55,"('잡곡밥', '감잣국', '애호박볶음')",247,2
56,"('잡곡밥', '감잣국', '청포묵무침')",248,7
57,"('잡곡밥', '감잣국', '병어구이')",243,15
58,"('잡곡밥', '감잣국', '쑥갓나물무침')",246,4
59,"('잡곡밥', '감잣국', '도미구이')",240,13
60,"('잡곡밥', '소고기미역국', '미나리나물')",282,4
61,"('잡곡밥', '소고기미역국', '취나물')",289,6
62,"('잡곡밥', '소고기미역국', '도토리묵')",281,5
63,"('잡곡밥', '소고기미역국', '새우구이')",284,12
64,"('잡곡밥', '소고기미역국', '숙주나물무침')",285,4
65,"('잡곡밥', '소고기미역국', '애호박볶음')",287,4
66,"('잡곡밥', '소고기미역국', '청포묵무침')",288,9
67,"('잡곡밥', '소고기미역국', '병어구이')",283,16
68,"('잡곡밥', '소고기미역국', '쑥갓나물무침')",286,7
69,"('잡곡밥', '소고기미역국', '도미구이')",280,14
70,"('잡곡밥', '미역국', '미나리나물')",262,1
71,"('잡곡밥', '미역국', '취나물')",269,2
72,"('잡곡밥', '미역국', '도토리묵')",261,1
73,"('잡곡밥', '미역국', '새우구이')",264,9
74,"('잡곡밥', '미역국', '숙주나물무침')",265,1
75,"('잡곡밥', '미역국', '애호박볶음')",267,1
76,"('잡곡밥', '미역국', '청포묵무침')",268,5
77,"('잡곡밥', '미역국', '병어구이')",263,14
78,"('잡곡밥', '미역국', '쑥갓나물무침')",266,3
79,"('잡곡밥', '미역국', '도미구이')",260,13
80,"('차조밥', '바지락조개국', '미나리나물')",352,5
81,"('차조밥', '바지락조개국', '취나물')",359,8
82,"('차조밥', '바지락조개국', '도토리묵')",351,6
83,"('차조밥', '바지락조개국', '새우구이')",354,13
84,"('차조밥', '바지락조개국', '숙주나물무침')",355,5
85,"('차조밥', '바지락조개국', '애호박볶음')",357,5
86,"('차조밥', '바지락조개국', '청포묵무침')",358,10
87,"('차조밥', '바지락조개국', '병어구이')",353,16
88,"('차조밥', '바지락조개국', '쑥갓나물무침')",356,8
89,"('차조밥', '바지락조개국', '도미구이')",350,15
90,"('차조밥', '얼갈이배춧국', '미나리나물')",372,1
91,"('차조밥', '얼갈이배춧국', '취나물')",379,2
92,"('차조밥', '얼갈이배춧국', '도토리묵')",371,1
93,"('차조밥', '얼갈이배춧국', '새우구이')",374,10
94,"('차조밥', '얼갈이배춧국', '숙주나물무침')",375,1
95,"('차조밥', '얼갈이배춧국', '애호박볶음')",377,1
96,"('차조밥', '얼갈이배춧국', '청포묵무침')",378,5
97,"('차조밥', '얼갈이배춧국', '병어구이')",373,14
98,"('차조밥', '얼갈이배춧국', '쑥갓나물무침')",376,3
99,"('차조밥', '얼갈이배춧국', '도미구이')",370,13
100,"('차조밥', '홍합미역국', '미나리나물')",382,6
101,"('차조밥', '홍합미역국', '취나물')",389,8
102,"('차조밥', '홍합미역국', '도토리묵')",381,7
103,"('차조밥', '홍합미역국', '새우구이')",384,13
104,"('차조밥', '홍합미역국', '숙주나물무침')",385,5
105,"('차조밥', '홍합미역국', '애호박볶음')",387,6
106,"('차조밥', '홍합미역국', '청포묵무침')",388,10
107,"('차조밥', '홍합미역국', '병어구이')",383,16
108,"('차조밥', '홍합미역국', '쑥갓나물무침')",386,9
109,"('차조밥', '홍합미역국', '도미구이')",380,15
110,"('차조밥', '무된장국', '미나리나물')",332,3
111,"('차조밥', '무된장국', '취나물')",339,5
112,"('차조밥', '무된장국', '도토리묵')",331,4
113,"('차조밥', '무된장국', '새우구이')",334,11
114,"('차조밥', '무된장국', '숙주나물무침')",335,3
115,"('차조밥', '무된장국', '애호박볶음')",337,3
116,"('차조밥', '무된장국', '청포묵무침')",338,8
117,"('차조밥', '무된장국', '병어구이')",333,15
118,"('차조밥', '무된장국', '쑥갓나물무침')",336,6
119,"('차조밥', '무된장국', '도미구이')",330,14
120,"('차조밥', '황태해장국', '미나리나물')",392,7
121,"('차조밥', '황태해장국', '취나물')",399,8
122,"('차조밥', '황태해장국', '도토리묵')",391,7
123,"('차조밥', '황태해장국', '새우구이')",394,13
124,"('차조밥', '황태해장국', '숙주나물무침')",395,6
125,"('차조밥', '황태해장국', '애호박볶음')",397,7
126,"('차조밥', '황태해장국', '청포묵무침')",398,11
127,"('차조밥', '황태해장국', '병어구이')",393,16
128,"('차조밥', '황태해장국', '쑥갓나물무침')",396,9
129,"('차조밥', '황태해장국', '도미구이')",390,15
130,"('차조밥', '감잣국', '미나리나물')",322,2
131,"('차조밥', '감잣국', '취나물')",329,4
132,"('차조밥', '감잣국', '도토리묵')",321,3
133,"('차조밥', '감잣국', '새우구이')",324,11
134,"('차조밥', '감잣국', '숙주나물무침')",325,2
135,"('차조밥', '감잣국', '애호박볶음')",327,2
136,"('차조밥', '감잣국', '청포묵무침')",328,8
137,"('차조밥', '감잣국', '병어구이')",323,15
138,"('차조밥', '감잣국', '쑥갓나물무침')",326,5
139,"('차조밥', '감잣국', '도미구이')",320,14
140,"('차조밥', '소고기미역국', '미나리나물')",362,5
141,"('차조밥', '소고기미역국', '취나물')",369,7
142,"('차조밥', '소고기미역국', '도토리묵')",361,6
143,"('차조밥', '소고기미역국', '새우구이')",364,12
144,"('차조밥', '소고기미역국', '숙주나물무침')",365,5
145,"('차조밥', '소고기미역국', '애호박볶음')",367,5
146,"('차조밥', '소고기미역국', '청포묵무침')",368,10
147,"('차조밥', '소고기미역국', '병어구이')",363,16
148,"('차조밥', '소고기미역국', '쑥갓나물무침')",366,8
149,"('차조밥', '소고기미역국', '도미구이')",360,15
150,"('차조밥', '미역국', '미나리나물')",342,1
151,"('차조밥', '미역국', '취나물')",349,3
152,"('차조밥', '미역국', '도토리묵')",341,2
153,"('차조밥', '미역국', '새우구이')",344,10
154,"('차조밥', '미역국', '숙주나물무침')",345,1
155,"('차조밥', '미역국', '애호박볶음')",347,1
156,"('차조밥', '미역국', '청포묵무침')",348,6
157,"('차조밥', '미역국', '병어구이')",343,14
158,"('차조밥', '미역국', '쑥갓나물무침')",346,3
159,"('차조밥', '미역국', '도미구이')",340,13
160,"('찰밥', '바지락조개국', '미나리나물')",432,10
161,"('찰밥', '바지락조개국', '취나물')",439,11
162,"('찰밥', '바지락조개국', '도토리묵')",431,10
163,"('찰밥', '바지락조개국', '새우구이')",434,14
164,"('찰밥', '바지락조개국', '숙주나물무침')",435,10
165,"('찰밥', '바지락조개국', '애호박볶음')",437,10
166,"('찰밥', '바지락조개국', '청포묵무침')",438,13
167,"('찰밥', '바지락조개국', '병어구이')",433,17
168,"('찰밥', '바지락조개국', '쑥갓나물무침')",436,11
169,"('찰밥', '바지락조개국', '도미구이')",430,16
170,"('찰밥', '얼갈이배춧국', '미나리나물')",452,5
