,원 질병이름,사이트 질병 이름,진료과,동의어,정의
0,ACEI(혈압강하제) 복용으로 인한 증상,(ACEI side effect),순환기내과,ACEI 부작용,혈압 강하제 중 ACEI 복용 후 나타나는 부작용을 의미합니다.
1,간염,간염(Hepatitis),소화기내과,"간세포 염증,간염증",간염은 간세포 조직에 염증이 생긴 것을 의미합니다.
2,간질성 폐질환,미만성 간질성 폐질환(Diffuse Interstitial lung disease),호흡기내과,"간질성 폐질환,미만성 침윤성 폐질환,특발성 간질성 폐렴,폐섬유증,폐섬유화증","미만성 간질성 폐질환(DILD)은 폐간질에 침범되는 비종양성, 비감염성 질환을 총칭합니다. 폐간질(interstitium)이란 폐포벽을 이루는 조직을 말합니다. 이것은 폐포상피세포, 내피세포, 기저막, 이를 둘러싸는 결체 조직, 모세혈관, 림프관을 모두 포함합니다. 대부분 간질만이 아니라 그 주위의 조직과 폐포 내에도 병변을 동반합니다."
3,갈비연골염,갈비연골염,흉부외과,늑연골염,갈비연골염은 늑골과 흉골을 연결하는 갈비 연골에 염증이 생긴 것입니다.
4,감염성 관절염,감염성 관절염,류미티스과,관절염,감염성 관절염은 보통 박테리아나 경우에 따라 바이러스 또는 진균으로 인해 관절액과 조직에 발생하는 감염입니다.
5,감염성 기침,상기도 감염(Upper respiratory infections),"호흡기내과, 알레르기내과","common cold, 감기","상기도 감염은 코, 인두, 후두, 기관 등 상기도의 감염성 염증 질환을 의미합니다."
6,감염성 대장염,감염성 대장염,소화기내과,대장염,감염성 대장염은 바이러스나 세균 등에 의하여 대장에 발생하는 감염입니다.
7,갑상샘과다증,갑상선기능항진증,"가정의학과, 내분비내과, 내분비외과","갑상샘 기능 항진증,갑상샘항진증,갑상선 항진증",우리 목 안에는 나비 모양의 갑상선이라는 기관이 있습니다. 갑상선에서는 갑상선호르몬을 배출하여 우리 몸의 여러 기능을 조절합니다. 갑상선기능항진증은 갑상선호르몬이 정상보다 많이 분비되어 몸의 에너지가 빨리 소모되고 많은 기능이 항진되는 질병을 말합니다.
8,갑상선기능저하증,갑상선기능저하증(Hypothyroidism),내분비내과,"갑상샘기능저하,갑상샘저하증,갑상선기능저하,갑상선저하증",갑상선기능저하증은 우리 몸에 필요한 갑상선호르몬이 부족하여 나타나는 질환을 의미합니다.
9,갑상선기능항진증,갑상선기능항진증,"가정의학과, 내분비내과, 내분비외과","갑상샘 기능 항진증,갑상샘항진증,갑상선 항진증",우리 목 안에는 나비 모양의 갑상선이라는 기관이 있습니다. 갑상선에서는 갑상선호르몬을 배출하여 우리 몸의 여러 기능을 조절합니다. 갑상선기능항진증은 갑상선호르몬이 정상보다 많이 분비되어 몸의 에너지가 빨리 소모되고 많은 기능이 항진되는 질병을 말합니다.
10,강직성 척추염,강직성 척추염(Ankylosing spondylitis),"재활의학과, 류마티스내과","경직성 척추염,강직척추염","강직성 척추염은 척추의 주 병변이 특징인 만성 관절염의 일종입니다. 강직성에서 ‘강직’은 ‘뻣뻣해짐’ 또는 ‘굳는 것’을 의미하고, 척추염은 말 그대로 ‘척추에 염증이 생기는 것’을 의미합니다. 척추 외에 엉덩이, 무릎, 어깨 등의 관절에도 염증을 일으킬 수 있습니다. 여기서 염증은 통증, 부종, 뻣뻣한 느낌, 빨갛게 붓는 증상이 나타나는 현상을 말합니다. 척추에 염증이 생기면 척추뼈들이 같이 굳거나 일체가 되어 자라기 때문에 등이 뻣뻣해지기도 합니다.강직성 척추염은 경미한 경우부터 매우 심한 경우까지 종류가 다양합니다. 초기에 진단하여 적절히 치료하면 통증이나 뻣뻣함을 조절할 수 있어서 심각한 변형의 발생을 줄이거나 예방할 수 있습니다."
11,건선,건선(Psoriasis),피부과,"건선피부,건선피부염",건선은 피부에 경계가 뚜렷하며 다양한 크기의 은백색의 비늘로 덮여 있는 홍반성 구진 및 판이 형성되는 질환을 의미합니다. 악화와 호전이 반복되는 만성 염증성 피부 질환입니다. 조직학적인 특징은 상피의 과다 증식입니다. 다양한 임상 양상을 보입니다.
12,게실염,게실 질환(Diverticular disease),"소화기내과, 대장항문외과","게실병,게실염,게실증,대장 게실","게실 질환은 식도, 위, 소장, 대장의 약해진 장벽이 늘어나 꽈리 모양의 주머니가 생기는 것을 의미합니다. 게실 질환은 대부분 대장에 발생하며, 특히 우측 결장에 잘 생깁니다. 돌출되는 대장벽이 점막과 점막하층에 국한되는 경우를 ‘가성 게실’이라고 합니다. 가성 게실은 후천적으로 발생합니다. 여러 개의 게실이 나타나며, 주로 좌측 대장에서 발생합니다. 근육층을 포함한 장벽의 전층이 돌출되어 주머니를 형성하는 경우를 ‘진성 게실’이라고 합니다. 진성 게실은 선천적으로 발생하며 동양인에게서 흔히 발견됩니다. 또한 주로 한 개의 게실이 나타나는 경우가 많고, 대부분 우측 대장에 생깁니다. 게실이 있지만 특별한 문제를 일으키지 않으면 ‘게실증’, 게실에 대변이나 음식물 찌꺼기 등이 끼어 염증을 일으키면 ‘게실염’이라고 합니다."
